# 
ch1_10V	ch2_1V	time	Delay	a	
1628.933	1702.733	1718887771.0878751	0.2	0	20-06-24 14:49:31.087919
1626.533	1700.733	1718887771.3279197	0.2	0	20-06-24 14:49:31.327941
1626.067	1700.267	1718887771.5670166	0.2	0	20-06-24 14:49:31.567044
1622.2	1707.267	1718887771.8065066	0.2	0	20-06-24 14:49:31.806530
1625.733	1705.733	1718887772.0456073	0.2	0	20-06-24 14:49:32.045632
1622.4	1699.6	1718887772.2853281	0.2	0	20-06-24 14:49:32.285348
1622.333	1701.667	1718887772.5253901	0.2	0	20-06-24 14:49:32.525410
1624.6	1699.733	1718887772.7647984	0.2	0	20-06-24 14:49:32.764817
1629.267	1704.733	1718887773.0039718	0.2	0	20-06-24 14:49:33.003997
1623.2	1701.467	1718887773.2424924	0.2	0	20-06-24 14:49:33.242516
1630.333	1710.867	1718887773.4815688	0.2	0	20-06-24 14:49:33.481591
1623.2	1704.6	1718887773.720826	0.2	0	20-06-24 14:49:33.720845
1628.067	1702.6	1718887773.9587836	0.2	0	20-06-24 14:49:33.958801
1625.467	1704.8	1718887774.1981986	0.2	0	20-06-24 14:49:34.198243
1624.467	1704.0	1718887774.4374685	0.2	0	20-06-24 14:49:34.437486
1622.333	1711.733	1718887774.6749063	0.2	0	20-06-24 14:49:34.674921
1621.933	1711.333	1718887774.913146	0.2	0	20-06-24 14:49:34.913185
1622.6	1699.6	1718887775.152821	0.2	0	20-06-24 14:49:35.152839
1621.0	1703.667	1718887775.3922248	0.2	0	20-06-24 14:49:35.392243
1621.133	1706.533	1718887775.6315174	0.2	0	20-06-24 14:49:35.631536
1622.667	1705.867	1718887775.8717556	0.2	0	20-06-24 14:49:35.871781
1626.0	1703.667	1718887776.111608	0.2	0	20-06-24 14:49:36.111626
1625.267	1705.8	1718887776.3512146	0.2	0	20-06-24 14:49:36.351234
1628.133	1709.467	1718887776.5905876	0.2	0	20-06-24 14:49:36.590606
1624.333	1706.267	1718887776.8302376	0.2	0	20-06-24 14:49:36.830280
1625.2	1706.267	1718887777.0703855	0.2	0	20-06-24 14:49:37.070417
1631.267	1708.667	1718887777.3097315	0.2	0	20-06-24 14:49:37.309750
1624.867	1721.933	1718887777.5500934	0.2	0	20-06-24 14:49:37.550117
1626.533	1707.333	1718887777.8243015	0.2	0	20-06-24 14:49:37.824324
1627.533	1707.933	1718887778.064454	0.2	0	20-06-24 14:49:38.064488
1624.2	1701.733	1718887778.3038514	0.2	0	20-06-24 14:49:38.303872
1627.933	1706.533	1718887778.5431514	0.2	0	20-06-24 14:49:38.543172
1624.4	1712.533	1718887778.782792	0.2	0	20-06-24 14:49:38.782815
1623.8	1715.8	1718887779.02303	0.2	0	20-06-24 14:49:39.023072
1623.4	1696.8	1718887779.2617984	0.2	0	20-06-24 14:49:39.261816
1622.133	1704.133	1718887779.5018651	0.2	0	20-06-24 14:49:39.501894
1621.867	1695.6	1718887779.7416663	0.2	0	20-06-24 14:49:39.741684
1618.533	1704.8	1718887779.980473	0.2	0	20-06-24 14:49:39.980487
1628.267	1705.6	1718887780.220389	0.2	0	20-06-24 14:49:40.220431
1629.2	1708.067	1718887780.4597254	0.2	0	20-06-24 14:49:40.459742
1625.733	1708.467	1718887780.6992981	0.2	0	20-06-24 14:49:40.699314
1617.867	1702.0	1718887780.938706	0.2	0	20-06-24 14:49:40.938744
1623.933	1701.533	1718887781.1783118	0.2	0	20-06-24 14:49:41.178331
1624.2	1712.4	1718887781.4177604	0.2	0	20-06-24 14:49:41.417778
1625.6	1708.2	1718887781.6572714	0.2	0	20-06-24 14:49:41.657289
1624.8	1705.467	1718887781.8960896	0.2	0	20-06-24 14:49:41.896107
1625.533	1702.6	1718887782.1348484	0.2	0	20-06-24 14:49:42.134866
1630.6	1704.133	1718887782.373888	0.2	0	20-06-24 14:49:42.373908
1630.133	1704.133	1718887782.6132405	0.2	0	20-06-24 14:49:42.613272
1628.0	1701.133	1718887782.8611476	0.2	0	20-06-24 14:49:42.861166
1628.733	1707.467	1718887783.0997753	0.2	0	20-06-24 14:49:43.099793
1625.4	1704.133	1718887783.3395028	0.2	0	20-06-24 14:49:43.339526
1626.867	1697.0	1718887783.5759852	0.2	0	20-06-24 14:49:43.576013
