# 
focus_V	pump_V	extractor_V	focus_I	pump_I	extractor_I	anode_I	time	Delay	
0	0	0	7.500093680000001e-10	3.35315746e-10	3.9006091099999996e-10	0.0653491195	1713169790.5220544	0.1	15-04-24 10:29:50.522108
0	0	0	3.76870585e-10	4.3310153e-10	4.87109351e-10	0.0653437451	1713169791.306127	0.1	15-04-24 10:29:51.306181
0	0	0	5.4105165e-10	4.41022838e-10	3.45269324e-10	0.0653341161	1713169792.085471	0.1	15-04-24 10:29:52.085516
0	0	0	7.500093680000001e-10	5.52368682e-10	4.79644086e-10	0.0653411699	1713169792.8626747	0.1	15-04-24 10:29:52.862723
0	0	0	2.4254062300000003e-10	2.66127517e-10	5.43098835e-10	0.0653498286	1713169793.6376178	0.1	15-04-24 10:29:53.637668
0	0	0	5.447830369999999e-10	5.71388772e-10	3.34071427e-10	0.0653497539	1713169794.4132466	0.1	15-04-24 10:29:54.413295
0	0	0	8.768765549999999e-10	5.64900089e-10	2.51953516e-10	0.0653581887	1713169795.187094	0.1	15-04-24 10:29:55.187158
0	0	0	7.835918589999999e-10	5.963615649999999e-10	3.1540826499999997e-10	0.0653572556	1713169795.9653268	0.1	15-04-24 10:29:55.965376
0	0	0	7.53740756e-10	4.3610047300000003e-10	3.5646722100000003e-10	0.0653628539	1713169796.7403367	0.1	15-04-24 10:29:56.740393
0	0	0	5.820969159999999e-10	1.0801433e-09	3.9006091099999996e-10	0.0653607639	1713169797.5156507	0.1	15-04-24 10:29:57.515701
0	0	0	2.31346459e-10	1.65388565e-10	8.771769529999999e-11	0.0653649439	1713169798.298486	0.1	15-04-24 10:29:58.298534
